175.44	98	358.84
101.41	124.09	196.19
12.02	105.67	332.89
45.01	117.71	3.71
11.34	53.92	46.98
298.25	44.3	15.59
102.84	139.21	142.69
249.58	90.95	217.66
115.76	10.54	32.27
139.16	120.42	11.79
211.38	89.81	335.54
118.09	67.09	75.84
23.76	73.38	109.93
271.94	133.29	196.29
177.91	91.92	235.05
262.39	99.12	268.66
132.05	156.67	325.37
15.07	79.73	203.73
99.05	52.32	8.21
234.24	142.07	77.58
72.43	154.89	127
46.29	52.21	283.06
122.1	86.54	201.67
223.63	32.59	345.9
167.71	125.87	128.65
343.77	93.88	127.56
309.48	153.55	258.87
159.48	124.29	325.82
249.42	118.97	63.15
203.37	75.54	303.45
174.02	77.63	175.7
352.42	115.48	337.94
102.68	144.66	340.27
256.65	146.81	307.63
225.15	113.58	24.2
106.18	93.98	147.64
137.44	140.37	52.99
190.36	52.82	216.83
296.7	15.81	47.24
130.97	124.37	224.3
127.7	58.17	137.57
217.56	63.33	200.33
301.92	59.07	235.06
93.89	74.02	257.98
43.31	11.86	214.45
66.3	153.13	7.42
240.33	102.77	349
12.57	126.05	65.07
39.18	87.53	98.61
266.42	92.34	109.98
122.31	29.61	217.68
333.33	130.05	22.55
231.99	139.7	296.95
76.85	73.28	103.69
47.89	144.83	195.48
346.58	54.94	183.03
77.92	94.44	258.39
284.4	62.55	79.1
293.23	18.67	107.8
322.56	148.27	289.15
353.43	80.66	115.46
264.6	60.39	176.84
321.85	99.32	196.71
286.09	73.07	221.51
73.88	41.83	230.39
12.7	20.47	251.2
4.8	62.72	213.34
348.48	112.69	115.88
336.81	117.33	133.9
103.27	138.11	164.92
200.05	12.3	343.89
35.44	162.45	9.21
228.68	78.86	8.73
345.4	46.36	64.19
286.49	154.16	312.26
335.78	121.27	344.73
183.19	86.75	101.71
355.78	107.61	54.89
82.21	58.63	51.07
177.3	108.44	281.7
141.79	61.58	177.45
158.19	110.07	162.32
156.71	158.29	3.89
10.76	47.28	55.19
103.51	53.61	85.7
150.27	95.41	284.94
259.39	117.31	343.63
302.64	24.69	41.46
198.91	89.83	147.07
37.54	31.44	303.84
255.82	95.6	151.44
107.03	69.83	339.4
249.12	68.23	133.27
302.86	145.46	321.44
344.16	108.12	136.99
220.51	95.71	284.38
347.49	116.89	302.89
102.53	105.5	186.36
307.28	35.85	63.99
46.38	61.15	138.47
307.57	60.35	137.74
243.32	164.29	286.34
93.35	29.72	299.6
130.07	68.7	226.55
210.46	56.03	281.67
293.62	99.5	105.16
88.81	26.22	150.18
212.41	115.26	72.54
151.98	66.64	179.38
200.39	69.6	114.51
18.9	140.47	32.5
127.53	59.9	103.13
246.67	42.88	230.14
253.97	85.25	30.1
231.28	123.6	34.83
122.1	124.79	113.86
60.35	117.98	3.79
65.11	60.05	94.83
20.5	148.18	269.8
232.58	53.03	313.73
276.71	93.2	183.89
185.1	64.34	228.45
60.41	96.69	184.46
31.67	135.23	326.88
92.96	83.31	78.44
258.7	96.04	101.11
133.7	65.17	138.58
343.15	121.49	36.71
290.52	132.42	164.13
183.5	97.39	178.35
97.64	91.86	338.55
185.23	145.68	335.08
34.98	88.64	131.94
248.53	45.98	133.65
278.35	72.69	255.09
10.12	101.9	114.06
167.32	50.14	38.89
