# Pole 111
80	185	0.77447
80	215	0.73221
80	245	0.22595
80	275	0.35009
80	305	0.28725
80	335	0.91424
90	5	1.40549
90	35	0.76154
90	65	0.11904
90	95	0.20727
90	125	0.17855
90	155	1.02953
90	185	1.68121
90	215	0.76011
90	245	0.1129
90	275	0.24944
90	305	0.17244
90	335	1.03788
# 311
0	0	1.64257
10	5	1.0667
10	35	1.03336
10	65	0.98209
10	95	0.89281
10	125	1.04986
10	155	1.16023
10	185	1.14018
10	215	1.05113
10	245	0.90938
10	275	0.90333
10	305	0.98148
10	335	1.07072
20	5	0.81217
20	35	0.64581
20	65	0.55034
20	95	0.58731
20	125	0.58151
20	155	0.70066
20	185	0.78836
20	216	0.65802
20	245	0.59451
20	275	0.57557
20	305	0.56893
20	335	0.73822
30	5	0.77942
30	35	0.79859
30	65	0.97917
30	95	0.94598
30	125	0.93241
30	155	0.73338
30	185	0.78128
30	215	0.85787
30	245	0.93773
30	275	0.88004
30	305	0.99776
30	335	0.8059
40	5	0.73171
40	35	0.85485
40	65	0.82977
40	95	0.64202
40	125	1.02273
40	155	0.78564
40	185	0.77033
40	216	1.00635
40	245	0.80644
40	275	0.572
40	305	0.96148
40	335	0.83359
50	5	0.6981
50	36	0.47713
50	65	0.74411
50	95	0.51307
50	125	0.76128
50	155	0.49741
50	185	0.60488
50	215	0.52995
50	245	0.81248
50	275	0.49524
50	305	0.71089
50	335	0.49828
60	5	0.72948
60	35	0.49874
60	65	0.71111
60	95	0.47447
60	125	0.67358
60	155	0.56505
60	185	0.76671
60	215	0.48662
60	245	0.69531
60	275	0.49726
60	305	0.6593
60	335	0.61705
70	5	0.55509
70	36	0.72184
70	65	0.6067
70	95	0.32053
70	125	0.6807
70	155	0.68829
70	185	0.61214
70	215	0.71468
70	245	0.59343
70	275	0.35821
70	305	0.70377
70	335	0.72547
80	5	0.48646
80	35	0.87613
80	65	0.81635
80	95	0.58439
80	125	0.88329
80	155	0.68661
80	185	0.51405
80	215	0.77455
80	245	0.75752
80	275	0.66969
80	305	0.86397
80	335	0.77579
90	5	0.54272
90	35	0.95453
90	65	0.83921
90	95	1.18366
90	125	0.75953
90	155	0.89496
90	185	0.50895
90	215	0.94276
90	245	0.83816
90	275	1.18124
90	305	0.77214
90	335	0.86156
